theme,video_count,pct_of_active
Brazilian Jiu-Jitsu,1112,35.86
Discipline / Mindset,474,15.29
Other,280,9.03
Music,265,8.55
Politics / News,155,5.0
Philosophy / Masculinity,130,4.19
Health / Fitness,102,3.29
Barber / Craft,101,3.26
Finance / Wealth,81,2.61
Business / Marketing,79,2.55
Spiritual / Faith,73,2.35
Tech / AI / Systems,69,2.23
German Language,51,1.64
Comedy / Entertainment,39,1.26
Leadership / Military,38,1.23
Podcasts,31,1.0
History / Documentary,21,0.68
